booking_id,property_id,platform,guest_name,booking_date,checkin_date,checkout_date,stay_nights,gross_booking_revenue,cleaning_fee,platform_fee,management_fee,maintenance_cost,total_cost,profit,avg_nightly_rate,review_rating,occupancy_status
BK000001,PROP001,Booking.com,Stacey Stewart,2022-12-12,2023-01-01,2023-01-05,4,356.24,60,10.69,71.25,56.66,127.35,228.89,89.06,4.8,Completed
BK000002,PROP001,Airbnb,Conor Chambers,2022-12-12,2023-01-05,2023-01-09,4,440.4,60,13.21,88.08,31.91,105.12,335.28,110.1,4.9,Completed
BK000003,PROP001,Booking.com,Terry Norton,2022-12-16,2023-01-09,2023-01-16,7,652.47,90,19.57,130.49,10.39,119.96,532.51,93.21,4.6,Completed
BK000004,PROP001,Airbnb,Diana Smith-Lambert,2022-12-07,2023-01-16,2023-01-19,3,298.92,70,8.97,59.78,15.77,94.74,204.18,99.64,4.2,Completed
BK000005,PROP001,Booking.com,Mr Denis Baker,2023-01-01,2023-01-19,2023-01-23,4,416.52,70,12.5,83.3,40.24,122.74000000000001,293.78,104.13,4.3,Completed
BK000006,PROP001,Vrbo,Maurice Taylor,2023-01-15,2023-01-23,2023-01-29,6,543.9,80,16.32,108.78,22.56,118.88,425.02,90.65,4.3,Completed
BK000007,PROP001,Airbnb,Kimberley Miah,2023-01-03,2023-01-29,2023-02-05,7,649.81,80,19.49,129.96,51.47,150.95999999999998,498.85,92.83,4.8,Completed
BK000008,PROP001,Airbnb,Eileen Francis,2022-12-17,2023-02-05,2023-02-12,7,654.43,70,19.63,130.89,18.08,107.71,546.72,93.49,4.7,Completed
BK000009,PROP001,Vrbo,Victoria Hutchinson,2022-12-26,2023-02-13,2023-02-19,6,630.96,50,18.93,126.19,15.59,84.52000000000001,546.44,105.16,4.5,Completed
BK000010,PROP001,Airbnb,Paul Hammond,2023-02-05,2023-02-19,2023-02-25,6,673.38,50,20.2,134.68,51.73,121.93,551.45,112.23,4.6,Completed
BK000011,PROP001,Booking.com,Chelsea Manning,2023-01-02,2023-02-26,2023-03-01,3,263.58,50,7.91,52.72,25.41,83.32,180.26,87.86,5.0,Completed
BK000012,PROP001,Booking.com,Daniel Dixon,2023-02-02,2023-03-01,2023-03-05,4,411.12,60,12.33,82.22,44.1,116.43,294.69,102.78,4.7,Completed
BK000013,PROP001,Vrbo,Gordon Franklin,2023-02-15,2023-03-07,2023-03-12,5,528.6,90,15.86,105.72,47.47,153.32999999999998,375.27,105.72,4.3,Completed
BK000014,PROP001,Booking.com,Miss Kelly Harvey,2023-02-14,2023-03-12,2023-03-15,3,332.28,80,9.97,66.46,11.24,101.21,231.07,110.76,5.0,Completed
BK000015,PROP001,Booking.com,Natasha Bates,2023-03-04,2023-03-15,2023-03-22,7,732.2,60,21.97,146.44,23.34,105.31,626.89,104.6,4.7,Completed
BK000016,PROP001,Booking.com,Miss Carol Mitchell,2023-02-17,2023-03-23,2023-03-25,2,241.26,80,7.24,48.25,21.12,108.36,132.9,120.63,4.8,Completed
BK000017,PROP001,airbnb,Mrs Geraldine Nash,2023-02-23,2023-03-25,2023-03-29,4,492.68,60,14.78,98.54,21.15,95.93,396.75,123.17,4.5,Completed
BK000018,PROP001,Airbnb,Ashley Lewis-James,2023-02-12,2023-03-30,2023-04-03,4,442.36,50,13.27,88.47,58.34,121.61,320.75,110.59,4.7,Completed
BK000019,PROP001,Airbnb,Leslie Savage,2023-03-13,2023-04-03,2023-04-08,5,629.25,90,18.88,125.85,26.56,135.44,493.81,125.85,4.5,Completed
BK000020,PROP001,Airbnb,Jemma Stewart,2023-03-12,2023-04-08,2023-04-14,6,686.04,70,20.58,137.21,11.91,102.49,583.55,114.34,5.0,Completed
BK000021,PROP001,Airbnb,Mr Frederick James,2023-03-04,2023-04-14,2023-04-19,5,619.75,90,18.59,123.95,59.21,167.8,451.95,123.95,4.9,Completed
BK000022,PROP001,Airbnb,Alice Hunt,2023-02-22,2023-04-19,2023-04-23,4,458.68,50,13.76,91.74,45.44,109.19999999999999,349.48,114.67,5.0,Completed
BK000023,PROP001,Airbnb,Victoria Collins-Martin,2023-03-07,2023-04-23,2023-04-30,7,779.31,60,23.38,155.86,28.21,111.59,667.72,111.33,4.7,Completed
BK000024,PROP001,Airbnb,Natasha Clark,2023-04-06,2023-04-30,2023-05-06,6,694.8,70,20.84,138.96,43.17,134.01,560.79,115.8,4.6,Completed
BK000025,PROP001,Booking.com,Matthew Hodgson,2023-03-27,2023-05-06,2023-05-10,4,493.24,80,14.8,98.65,26.31,121.11,372.13,123.31,4.7,Completed
BK000026,PROP001,Airbnb,Dr Jack Owen,2023-03-19,2023-05-10,2023-05-13,3,385.8,80,11.57,77.16,43.25,134.82,250.98,128.6,4.6,Completed
BK000027,PROP001,Airbnb,Chelsea Harrison,2023-05-08,2023-05-13,2023-05-19,6,678.3,90,20.35,135.66,25.05,135.4,542.9,113.05,4.6,Completed
BK000028,PROP001,Airbnb,Miss Denise Davies,2023-04-03,2023-05-19,2023-05-23,4,493.68,60,14.81,98.74,31.49,106.3,387.38,123.42,4.8,Completed
BK000029,PROP001,Airbnb,Jemma Potts,2023-04-20,2023-05-25,2023-05-30,5,563.2,80,16.9,112.64,32.11,129.01,434.19,112.64,4.6,Completed
BK000030,PROP001,Booking.com,Jennifer Gill,2023-04-16,2023-05-30,2023-06-06,7,824.04,50,24.72,164.81,24.19,98.91,725.13,117.72,4.8,Completed
BK000031,PROP001,Airbnb,Mr Leigh Parker,2023-05-20,2023-06-06,2023-06-08,2,244.54,60,7.34,48.91,43.64,110.98,133.56,122.27,4.8,Completed
BK000032,PROP001,Airbnb,Wayne Pearson,2023-04-10,2023-06-08,2023-06-10,2,301.98,50,9.06,60.4,22.24,81.3,220.68,150.99,4.5,Completed
BK000033,PROP001,Airbnb,Steven Ford,2023-04-21,2023-06-10,2023-06-15,5,789.6,80,23.69,157.92,54.31,158.0,631.6,157.92,4.2,Completed
BK000034,PROP001,Booking.com,Gary Thompson,2023-06-10,2023-06-15,2023-06-20,5,792.25,80,23.77,158.45,22.2,125.97,666.28,158.45,4.7,Completed
BK000035,PROP001,Vrbo,Kenneth Cunningham,2023-05-14,2023-06-21,2023-06-26,5,672.35,60,20.17,134.47,18.79,98.96000000000001,573.39,134.47,4.7,Completed
BK000036,PROP001,Booking.com,Ashley Davies,2023-05-23,2023-06-26,2023-06-28,2,371.68,90,11.15,74.34,22.46,123.61000000000001,248.07,185.84,4.8,Completed
BK000037,PROP001,Airbnb,Reece Freeman,2023-05-06,2023-06-28,2023-07-03,5,760.15,90,22.8,152.03,59.39,172.19,587.96,152.03,4.7,Completed
BK000038,PROP001,Vrbo,Sharon Martin-Newton,2023-06-01,2023-07-04,2023-07-10,6,1016.64,90,30.5,203.33,31.34,151.84,864.8,169.44,4.9,Completed
BK000039,PROP001,Booking.com,Gareth Baker-Lawrence,2023-05-13,2023-07-10,2023-07-17,7,1017.03,80,30.51,203.41,32.5,143.01,874.02,145.29,5.0,Completed
BK000040,PROP001,Airbnb,Beth Hodgson,2023-07-08,2023-07-17,2023-07-23,6,975.24,80,29.26,195.05,41.34,150.60000000000002,824.64,162.54,5.0,Completed
BK000041,PROP001,Booking.com,Dr Max Wallace,2023-07-13,2023-07-23,2023-07-26,3,447.36,70,13.42,89.47,26.79,110.21000000000001,337.15,149.12,4.9,Completed
BK000042,PROP001,Airbnb,Josephine Morris,2023-07-08,2023-07-26,2023-07-29,3,469.47,60,14.08,93.89,29.15,103.22999999999999,366.24,156.49,,Completed
BK000043,PROP001,Airbnb,Frank Reed,2023-07-21,2023-07-29,2023-08-03,5,776.8,80,23.3,155.36,26.54,129.84,646.96,155.36,4.6,Completed
BK000044,PROP001,Airbnb,Ms Marilyn Parkinson,2023-06-15,2023-08-03,2023-08-08,5,710.3,80,21.31,142.06,55.24,156.55,553.75,142.06,4.8,Completed
BK000045,PROP001,Vrbo,Derek Watson,2023-07-15,2023-08-08,2023-08-14,6,977.76,80,29.33,195.55,33.85,143.18,834.58,162.96,4.7,Completed
BK000046,PROP001,Airbnb,Mr Gavin Mitchell,2023-07-02,2023-08-14,2023-08-19,5,727.6,90,21.83,145.52,47.38,159.21,568.39,145.52,4.6,Completed
BK000047,PROP001,Airbnb,Alice Watts-Harris,2023-07-21,2023-08-19,2023-08-24,5,754.1,60,22.62,150.82,23.65,106.27000000000001,647.83,150.82,4.8,Completed
BK000048,PROP001,Booking.com,Clive Wright,2023-08-11,2023-08-24,2023-08-31,7,1106.56,80,33.2,221.31,46.21,159.41,947.15,158.08,5.0,Completed
BK000049,PROP001,Airbnb,Mr Liam Reynolds,2023-07-15,2023-08-31,2023-09-06,6,907.32,50,27.22,181.46,55.35,132.57,774.75,151.22,4.6,Completed
BK000050,PROP001,Airbnb,Sian Hilton,2023-08-30,2023-09-07,2023-09-09,2,244.38,80,7.33,48.88,16.78,104.11,140.27,122.19,5.0,Completed
